id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
0,21,female,b.sc,7.91,98.8,no,4.9,average,online videos,low,easy,78.3
1,18,other,diploma,4.95,94.8,yes,4.7,poor,self-study,medium,moderate,46.7
2,20,female,b.sc,4.68,92.6,yes,5.8,poor,coaching,high,moderate,99
3,19,male,b.sc,2,49.5,yes,8.3,average,group study,high,moderate,63.9
4,23,male,bca,7.65,86.9,yes,9.6,good,self-study,high,easy,100
5,24,male,b.com,5.04,85.1,yes,9.4,average,online videos,medium,moderate,70.1
6,20,male,b.sc,4.28,87,no,9.1,average,mixed,high,moderate,63.4
7,22,female,ba,4.19,44.9,yes,8.8,good,self-study,high,hard,76.8
8,22,other,b.com,1.06,98.3,yes,5,poor,mixed,low,moderate,46.7
9,18,male,bba,3.44,80.9,yes,6.2,good,group study,medium,easy,58.2
10,20,other,bba,7.24,51.6,yes,7.4,good,self-study,high,easy,85.9
11,19,female,b.tech,6.85,43.2,yes,8.5,poor,self-study,high,moderate,74.5
12,24,other,ba,7.4,92.4,yes,8.2,average,coaching,high,moderate,100
13,19,other,bba,6.99,90.5,yes,6.4,good,mixed,high,moderate,93.5
14,21,male,b.com,2.91,78.4,yes,6.7,average,online videos,low,easy,51.6
15,23,male,b.sc,7.47,64.8,yes,9.3,poor,self-study,low,moderate,76.8
16,23,male,b.tech,4.56,63.9,yes,8.4,average,mixed,high,moderate,58.6
17,21,male,bba,3.8,53.3,yes,4.7,good,coaching,high,moderate,67.4
18,17,female,b.tech,0.08,47.7,yes,9,average,coaching,low,moderate,32.2
19,17,male,b.tech,4.39,97.9,yes,9.1,good,group study,high,moderate,94.3
20,22,female,b.sc,6.23,92.3,yes,4.8,average,mixed,medium,moderate,77.4
21,22,female,bca,0.12,78.6,yes,4.1,poor,mixed,low,moderate,34.5
22,19,female,b.com,7.91,87.2,yes,8.2,good,online videos,high,easy,92.4
23,17,other,b.com,6.75,44.2,yes,9.9,good,group study,low,moderate,80.8
24,20,male,diploma,4.01,54.5,yes,5.4,good,group study,low,moderate,49.5
25,22,other,b.com,7.59,84,yes,5,average,self-study,high,moderate,76.2
26,21,male,ba,7.66,97.3,yes,9,good,online videos,high,easy,91.2
27,17,other,bca,3.73,41.2,yes,8.6,good,self-study,high,moderate,62.3
28,20,male,b.com,0.49,51.2,yes,7.9,average,self-study,medium,easy,31.5
29,18,male,b.tech,5.08,77.5,yes,7.4,average,mixed,high,moderate,77.4
30,24,female,b.com,2.67,63.6,yes,6.9,good,group study,high,moderate,69.1
31,19,female,b.com,3.99,53,no,7.7,good,self-study,high,moderate,57.3
32,23,male,b.com,0.4,46.9,yes,4.1,average,online videos,medium,easy,42.9
33,17,female,bca,2.64,72.3,no,8.5,good,self-study,high,hard,53.1
34,19,male,bca,5.14,66.2,yes,5,poor,group study,low,moderate,67.2
35,19,other,bca,7.19,61.3,yes,7.8,poor,group study,medium,easy,74.8
36,23,female,b.com,3.78,40.6,yes,9.6,poor,coaching,low,moderate,49.7
37,20,other,bba,3.09,81.5,yes,4.5,good,mixed,low,easy,64.2
38,20,male,diploma,5.11,57.1,no,4.8,good,mixed,low,moderate,69.8
39,19,other,diploma,3.38,50,yes,4.4,average,self-study,high,moderate,59.9
40,24,other,b.tech,4.33,44.5,yes,5.5,poor,group study,low,moderate,46.5
41,24,male,b.sc,7.75,69.2,yes,8.6,good,mixed,high,easy,95.4
42,22,other,bba,6.2,51.7,yes,8.1,average,coaching,high,easy,74.6
43,18,female,b.com,0.55,92.6,yes,7.3,good,group study,high,easy,57.7
44,23,other,bca,2.36,69.5,yes,7.6,good,group study,low,easy,58
45,17,male,b.tech,3.11,58.3,yes,6.4,poor,group study,high,hard,70
46,22,male,b.com,6.9,71.9,yes,6.4,average,online videos,high,moderate,86.5
47,22,other,b.tech,4.55,82.2,yes,7.2,good,coaching,medium,easy,86.3
48,18,male,b.sc,7.04,79.3,yes,4.8,average,online videos,medium,moderate,73.8
